epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4115,1.58924,4.71035,1.80213,0.02537,0.73244,0.13397,0.06627,1.21711,3.67964,1.72134,0.000109318,0.000109318,0.000109318
2,167.799,1.26528,3.48118,1.52862,0.59776,0.35767,0.3117,0.21956,1.02047,2.83971,1.59091,0.000215956,0.000215956,0.000215956
3,249.574,1.24568,2.94318,1.4964,0.65608,0.39963,0.52952,0.35211,1.20459,2.58563,1.77735,0.000318198,0.000318198,0.000318198
4,332.115,1.21527,2.46253,1.45367,0.6247,0.48444,0.59445,0.42028,1.06759,2.35146,1.6429,0.00031322,0.00031322,0.00031322
5,414.687,1.1857,2.22726,1.42497,0.64453,0.5973,0.66223,0.43948,1.19932,2.52585,1.73014,0.000306626,0.000306626,0.000306626
6,496.357,1.13388,2.03137,1.38993,0.63603,0.53783,0.60998,0.38369,1.23581,2.40492,1.74988,0.000300033,0.000300033,0.000300033
7,578.905,1.09805,1.82415,1.35362,0.6052,0.48137,0.5969,0.41919,1.0759,2.521,1.53196,0.00029344,0.00029344,0.00029344
8,661.544,1.08949,1.74604,1.34394,0.60894,0.54218,0.66919,0.43862,1.25522,2.53263,1.82248,0.000286846,0.000286846,0.000286846
9,743.148,1.05237,1.59531,1.31297,0.52285,0.58133,0.67281,0.48654,1.05742,2.19325,1.57145,0.000280253,0.000280253,0.000280253
10,825.797,1.05627,1.5255,1.31385,0.61445,0.57332,0.67786,0.435,1.28772,2.14459,1.8065,0.000273659,0.000273659,0.000273659
11,908.751,1.02795,1.45165,1.27624,0.62468,0.56085,0.67327,0.48745,1.0427,2.33926,1.56402,0.000267066,0.000267066,0.000267066
12,990.429,0.99846,1.34059,1.25349,0.6267,0.58292,0.66023,0.47775,1.08405,2.22045,1.61968,0.000260473,0.000260473,0.000260473
13,1079.16,0.97692,1.31415,1.26702,0.85515,0.3647,0.60696,0.41706,1.18212,2.63829,1.65564,0.000253879,0.000253879,0.000253879
14,1176.36,0.98558,1.26979,1.25925,0.72199,0.61472,0.73766,0.55606,0.98767,2.10375,1.50102,0.000247286,0.000247286,0.000247286
15,1284.49,0.96682,1.2253,1.243,0.70056,0.57574,0.71808,0.52502,1.12255,2.14783,1.61829,0.000240692,0.000240692,0.000240692
16,1393.02,0.94203,1.16939,1.2275,0.76511,0.59173,0.79788,0.56284,1.1442,1.75887,1.65652,0.000234099,0.000234099,0.000234099
17,1499.92,0.91489,1.133,1.20556,0.83634,0.55983,0.76328,0.55819,1.05888,1.99434,1.60997,0.000227506,0.000227506,0.000227506
18,1605.52,0.90553,1.07763,1.1983,0.67932,0.58202,0.72651,0.55426,1.00307,2.25578,1.51302,0.000220912,0.000220912,0.000220912
19,1720.4,0.89812,1.09543,1.18951,0.80576,0.49976,0.76536,0.57095,1.02566,2.05852,1.54545,0.000214319,0.000214319,0.000214319
20,1846.76,0.87323,1.03838,1.18011,0.60831,0.63668,0.72585,0.54692,0.99537,2.18849,1.48869,0.000207725,0.000207725,0.000207725
21,1967.82,0.86014,0.99805,1.17201,0.66402,0.54408,0.68054,0.52413,0.974,2.3641,1.44827,0.000201132,0.000201132,0.000201132
22,2089.79,0.84622,0.95202,1.15909,0.74749,0.52997,0.70171,0.51613,1.03373,2.28827,1.51254,0.000194539,0.000194539,0.000194539
23,2208.55,0.8321,0.9283,1.14284,0.76127,0.59367,0.77604,0.57058,1.02214,2.07419,1.567,0.000187945,0.000187945,0.000187945
24,2463.67,0.82049,0.91779,1.15513,0.61027,0.58491,0.71068,0.52376,1.04059,2.2879,1.54295,0.000181352,0.000181352,0.000181352
25,2570.1,0.81696,0.89427,1.13558,0.67555,0.50681,0.66538,0.49382,1.02352,2.37177,1.51529,0.000174758,0.000174758,0.000174758
26,2682.74,0.79435,0.87124,1.12479,0.68581,0.59662,0.768,0.57277,1.03192,2.05209,1.54322,0.000168165,0.000168165,0.000168165
27,2794.39,0.81027,0.86523,1.12764,0.59809,0.59125,0.69822,0.51345,1.07569,2.25947,1.57658,0.000161572,0.000161572,0.000161572
28,2912.77,0.78362,0.8362,1.12435,0.64862,0.62379,0.74988,0.54899,1.07882,2.10469,1.58969,0.000154978,0.000154978,0.000154978
29,3272.22,0.78486,0.83792,1.12511,0.6429,0.55119,0.66091,0.49622,0.99832,2.39375,1.49591,0.000148385,0.000148385,0.000148385
30,3440.01,0.7741,0.81885,1.11086,0.72337,0.5828,0.74099,0.56233,0.98719,2.04981,1.51227,0.000141791,0.000141791,0.000141791
31,3603.91,0.76177,0.80901,1.1109,0.71196,0.64221,0.76651,0.56906,1.02398,2.15427,1.50634,0.000135198,0.000135198,0.000135198
32,3711.24,0.75852,0.80232,1.10848,0.66064,0.59099,0.72411,0.54926,1.00316,2.15996,1.51153,0.000128605,0.000128605,0.000128605
33,3822.93,0.74098,0.78061,1.09831,0.78577,0.59923,0.78294,0.59,1.02754,2.08475,1.5557,0.000122011,0.000122011,0.000122011
34,3933.78,0.72011,0.76276,1.08655,0.77846,0.56883,0.77989,0.5735,1.04724,2.00864,1.55445,0.000115418,0.000115418,0.000115418
35,4012.5,0.70747,0.73901,1.0796,0.74386,0.61324,0.75176,0.55754,1.00751,2.05061,1.50054,0.000108824,0.000108824,0.000108824
36,4094.86,0.71608,0.74534,1.07646,0.66889,0.63839,0.74917,0.5659,1.00452,1.96619,1.48621,0.000102231,0.000102231,0.000102231
37,4176.39,0.70056,0.7308,1.07587,0.66439,0.65236,0.75821,0.56703,1.04207,1.92501,1.51256,9.56376e-05,9.56376e-05,9.56376e-05
38,4258.96,0.69149,0.70906,1.07113,0.66559,0.6278,0.75459,0.57257,0.97476,2.05756,1.4752,8.90442e-05,8.90442e-05,8.90442e-05
39,4341.29,0.67821,0.70882,1.07082,0.69437,0.63809,0.76328,0.57284,1.00927,2.07558,1.51335,8.24508e-05,8.24508e-05,8.24508e-05
40,4422.89,0.68025,0.70414,1.06844,0.76567,0.59581,0.78486,0.59743,1.00615,1.94249,1.51068,7.58574e-05,7.58574e-05,7.58574e-05
41,4518.92,0.55278,0.48808,1.02316,0.64956,0.66392,0.75379,0.57724,0.99188,2.03025,1.5012,6.9264e-05,6.9264e-05,6.9264e-05
42,4597.21,0.54076,0.45938,1.00496,0.69713,0.66504,0.74327,0.55912,0.99484,1.92814,1.48911,6.26706e-05,6.26706e-05,6.26706e-05
43,4674.57,0.52412,0.44773,1.00757,0.70488,0.64836,0.76613,0.58487,0.96467,1.93219,1.49065,5.60772e-05,5.60772e-05,5.60772e-05
44,4753.48,0.50566,0.43797,0.9892,0.69968,0.67152,0.79498,0.60012,0.98344,1.98114,1.50296,4.94838e-05,4.94838e-05,4.94838e-05
45,4832.29,0.49682,0.42872,0.98309,0.70836,0.64362,0.79456,0.60762,0.96877,2.00257,1.4809,4.28904e-05,4.28904e-05,4.28904e-05
46,4910.17,0.4955,0.41885,0.98304,0.69307,0.70183,0.80062,0.60964,0.98607,1.88773,1.51508,3.6297e-05,3.6297e-05,3.6297e-05
47,4993.8,0.47374,0.40925,0.96585,0.68448,0.69783,0.80574,0.61572,0.97455,1.83183,1.49957,2.97036e-05,2.97036e-05,2.97036e-05
48,5077.27,0.46811,0.40689,0.95911,0.7207,0.66064,0.80582,0.6122,0.97851,1.86202,1.51411,2.31102e-05,2.31102e-05,2.31102e-05
49,5159.94,0.45555,0.40143,0.96117,0.6925,0.6657,0.80368,0.6103,0.9853,1.81472,1.51855,1.65168e-05,1.65168e-05,1.65168e-05
50,5243.52,0.45042,0.39605,0.95305,0.70622,0.6635,0.79711,0.60719,0.9772,1.8682,1.51747,9.9234e-06,9.9234e-06,9.9234e-06
