epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7305,1.71324,4.86244,2.01705,0.31617,0.25911,0.16998,0.07445,1.49496,3.33008,2.01971,0.000110578,0.000110578,0.000110578
2,171.204,1.42358,3.8006,1.72076,0.37775,0.47184,0.38277,0.1747,1.59365,2.84008,2.11678,0.000217191,0.000217191,0.000217191
3,255.736,1.43186,3.29905,1.68178,0.71031,0.42338,0.58366,0.30188,1.51633,2.9318,2.02007,0.000319408,0.000319408,0.000319408
4,340.047,1.4276,2.88242,1.65725,0.55515,0.54611,0.59736,0.25871,1.74274,2.83989,2.27032,0.00031322,0.00031322,0.00031322
5,424.457,1.37595,2.55913,1.62554,0.65402,0.53382,0.66039,0.38317,1.48348,2.57472,1.98009,0.000306626,0.000306626,0.000306626
6,509.898,1.36206,2.35929,1.58981,0.68004,0.52134,0.64576,0.36967,1.57339,2.3019,2.11476,0.000300033,0.000300033,0.000300033
7,593.705,1.30797,2.16675,1.56865,0.57827,0.62992,0.72865,0.40945,1.50605,2.3686,1.99844,0.00029344,0.00029344,0.00029344
8,677.782,1.3185,2.01343,1.54344,0.83546,0.41393,0.68448,0.37912,1.51951,2.80525,2.05513,0.000286846,0.000286846,0.000286846
9,761.367,1.28805,1.86839,1.51614,0.72466,0.63122,0.75959,0.42469,1.56361,2.30521,2.00362,0.000280253,0.000280253,0.000280253
10,847.058,1.2691,1.7935,1.49838,0.59623,0.62413,0.75435,0.45617,1.43491,2.21914,1.90031,0.000273659,0.000273659,0.000273659
11,932.161,1.24363,1.70228,1.4822,0.56012,0.65819,0.74614,0.43958,1.50438,2.06738,1.98027,0.000267066,0.000267066,0.000267066
12,1016.77,1.22662,1.60114,1.46098,0.76349,0.61491,0.80702,0.47015,1.50395,1.93965,1.95508,0.000260473,0.000260473,0.000260473
13,1099.57,1.23434,1.58028,1.46581,0.65909,0.6574,0.77127,0.45679,1.48481,2.29034,1.97585,0.000253879,0.000253879,0.000253879
14,1182.23,1.2081,1.47342,1.42913,0.61008,0.62105,0.74585,0.40744,1.56249,2.25882,2.08392,0.000247286,0.000247286,0.000247286
15,1268.85,1.19213,1.48085,1.43085,0.77471,0.5419,0.77426,0.47847,1.39697,2.17115,1.82399,0.000240692,0.000240692,0.000240692
16,1357.34,1.16673,1.37737,1.40943,0.79831,0.58784,0.77396,0.454,1.47743,2.1404,1.93814,0.000234099,0.000234099,0.000234099
17,1442.73,1.16056,1.35196,1.39307,0.70761,0.63685,0.75535,0.44477,1.4867,2.13232,1.91605,0.000227506,0.000227506,0.000227506
18,1531.13,1.15828,1.29634,1.38874,0.64848,0.70196,0.79669,0.50888,1.38344,1.90928,1.81548,0.000220912,0.000220912,0.000220912
19,1617.02,1.1563,1.30091,1.3966,0.67284,0.57377,0.74609,0.49797,1.35336,1.99932,1.80011,0.000214319,0.000214319,0.000214319
20,1705.23,1.11669,1.23499,1.36298,0.65321,0.6657,0.75774,0.45566,1.51294,2.33393,1.91591,0.000207725,0.000207725,0.000207725
