epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.335,1.12003,4.41313,1.70258,0.60744,0.53983,0.61191,0.45818,1.03104,1.79857,1.47981,0.000110605,0.000110605,0.000110605
2,363.175,0.93383,2.64726,1.43692,0.83658,0.74004,0.87736,0.64404,0.99106,1.16,1.39436,0.000199666,0.000199666,0.000199666
3,528.847,0.86637,1.89821,1.34385,0.90473,0.87195,0.94517,0.71822,0.90706,0.88659,1.31336,0.000266749,0.000266749,0.000266749
4,695.459,0.82717,1.52368,1.29908,0.91427,0.94933,0.95873,0.71901,0.94123,0.76554,1.36731,0.000234099,0.000234099,0.000234099
5,862.604,0.80439,1.27896,1.27109,0.91739,0.95244,0.96894,0.75406,0.83739,0.6977,1.24291,0.000201132,0.000201132,0.000201132
6,1029.33,0.7622,1.10794,1.22909,0.9562,0.95,0.98068,0.77973,0.80479,0.60601,1.22635,0.000168165,0.000168165,0.000168165
7,1198.67,0.72147,0.98172,1.204,0.96303,0.9574,0.98114,0.7874,0.77855,0.54134,1.198,0.000135198,0.000135198,0.000135198
8,1365.28,0.69475,0.88531,1.17639,0.97226,0.96484,0.98732,0.80214,0.7573,0.50943,1.17373,0.000102231,0.000102231,0.000102231
9,1532.32,0.67835,0.81799,1.15939,0.97175,0.97036,0.9853,0.80056,0.74208,0.48107,1.14975,6.9264e-05,6.9264e-05,6.9264e-05
10,1700.67,0.65061,0.77227,1.1347,0.96999,0.97547,0.98534,0.80629,0.73881,0.46977,1.14874,3.6297e-05,3.6297e-05,3.6297e-05
